row_ID,add_these_pw_job_title_9089,agent_city,agent_firm_name,agent_state,application_type,case_no,case_number,case_received_date,case_status,class_of_admission,country_of_citizenship,country_of_citzenship,decision_date,employer_address_1,employer_address_2,employer_city,employer_country,employer_decl_info_title,employer_name,employer_num_employees,employer_phone,employer_phone_ext,employer_postal_code,employer_state,employer_yr_estab,foreign_worker_info_alt_edu_experience,foreign_worker_info_birth_country,foreign_worker_info_city,foreign_worker_info_education,binarisation
92828,,New York,Law Offices of Harvey Shapiro,NEW JERSEY,,,A-15344-48825,07/01/2016,Denied,H-1B,UNITED STATES OF AMERICA,,17/08/2015,1 Tara Blvd,None,NASHUA,UNITED STATES OF AMERICA,President,DATASERV INC,78,(603) 821-4392,,85281,ARIZONA,1982,A,INDIA,CHANDLER,Master's,1
245779,,None,James C.T. Hsia & Associates,MASSACHUSETTS,,,A-16026-65515,23/02/2016,Certified-Expired,H-1B,INDIA,,05/01/2015,8000 S. Federal Way,Suite 300,BOISE,UNITED STATES OF AMERICA,Senior Assistant General Counsel,"MICRON TECHNOLOGY, INC.",11300,(208) 368-3156,,85034,ARIZONA,1955,A,INDIA,JOHNS CREEK,Master's,1
151811,,Seattle,None,None,,,A-13338-21623,26/12/2013,Certified-Expired,A1/A2,CHILE,,16/12/2015,9100 Wilshire Blvd,4Th Floor,BEVERLY HILLS,UNITED STATES OF AMERICA,"Vice President, Finance",BOSLEY,467,(310) 288-9999,,85226,ARIZONA,2002,Y,INDIA,SAN DIEGO,Bachelor's,0
214876,,San Francisco,Egan LLP,CALIFORNIA,,,A-16026-65021,19/02/2016,Certified,L-1,CHINA,,27/04/2015,8000 S. Federal Way,None,BOISE,UNITED STATES OF AMERICA,Senior Assistant General Counsel,"MICRON TECHNOLOGY, INC.",5610,(208) 368-3156,,85204,ARIZONA,2004,N,INDIA,SCOTTSDALE,Master's,1
335277,,None,Law Office of Peter D. Chu,MICHIGAN,,,A-14169-79802,08/07/2014,Certified,F-1,INDIA,,21/10/2016,One Microsoft Way,None,REDMOND,UNITED STATES OF AMERICA,"In-House Attorney, Microsft Corporation",MICROSOFT CORPORATION,60000,(425) 538-3872,,85224,ARIZONA,1989,Y,ROMANIA,AUSTIN,Master's,1
47518,,Cincinnati,"Hammond Law Group, LLC",MARYLAND,,,A-16118-02987,18/05/2016,Certified,H-1B,INDIA,,20/09/2016,200 W. Evelyn Avenue,None,MOUNTAIN VIEW,UNITED STATES OF AMERICA,"Co-Founder, And Vp Analytics","Awake Networks, Inc.",26,(650) 443-5253,,72716-0215,ARKANSAS,1962,A,CHINA,MOUNTAIN VIEW,Master's,1
212672,,Chicago,"Fragomen, Del Rey, Bernsen & Loewy, LLP",COLORADO,,,A-16091-91647,19/04/2016,Denied,H-1B,CHINA,,08/10/2015,20 South Van Buren Avenue,None,BARBERTON,UNITED STATES OF AMERICA,Hr,"BABCOCK & WILCOX POWER GENERATION GROUP, INC.",5300,(330) 753-4511,,72716-0215,ARKANSAS,1962,,,FREMONT,Master's,1
108098,,Boston,Seyfarth Shaw LLP,TEXAS,,,A-14174-81169,12/07/2014,Certified,H-1B,MEXICO,,07/11/2016,223 Foster Street,None,MARTINEZ,UNITED STATES OF AMERICA,Chief Executive Officer,"BAJA CONSTRUCTION CO., INC.",115,(925) 229-0732,,72716-0215,ARKANSAS,1962,,,FREMONT,Bachelor's,0
335832,,New York,"Law Office of Paul O'Dwyer, P.C.",MICHIGAN,,,A-14168-79240,03/07/2014,Certified,L-1,CHINA,,20/06/2016,One Microsoft Way,None,REDMOND,UNITED STATES OF AMERICA,"In-House Attorney, Microsoft Corporation",MICROSOFT CORPORATION,60000,(425) 538-3872,2302,72201,ARKANSAS,1995,,,HAMILTON,Master's,1
72925,,None,"Cohen, Fluhr, GonzÃ¡lez & Pinillos, P.C.",CALIFORNIA,,,A-15294-30788,12/11/2015,Certified,None,INDIA,,18/08/2016,206 Terminal Drive,None,PLAINVIEW,UNITED STATES OF AMERICA,President,AWI USA LLC,50,(516) 813-9500,,72716-0215,ARKANSAS,1962,,,MILPITAS,Master's,1
335316,,Newport Beach,Taki Law Offices,TEXAS,,,A-14150-73667,17/06/2014,Certified,L-1,CHINA,,07/09/2016,One Microsoft Way,None,REDMOND,UNITED STATES OF AMERICA,"In-House Attorney, Microsoft Corporation",MICROSOFT CORPORATION,60000,(425) 538-3872,,72201,ARKANSAS,1969,,,REDWOOD CITY,Master's,1
16593,,Newport Beach,Taki Law Offices,TEXAS,,,A-16202-34609,08/08/2016,Certified,None,PAKISTAN,,04/08/2016,6930 Gessner Drive,None,HOUSTON,UNITED STATES OF AMERICA,President,Ayraa Business LLC dba MNF Food Mart,7,(713) 937-4988,,72716-0215,ARKANSAS,1962,,,SUNNYVALE,Bachelor's,0
34910,,Edison,The Chugh Firm APC.,TEXAS,,,A-16180-27187,22/07/2016,Certified-Expired,H-1B,SPAIN,,23/02/2016,4515 W. Mockingbird Lane,None,DALLAS,UNITED STATES OF AMERICA,President,Pegasus Bank,18,(214) 353-3000,,94043,CALIFORNIA,1998,A,BANGLADESH,SUNNYVALE,Master's,1
278234,,None,LeClairRyan PC,NEW YORK,,,A-16112-00183,12/05/2016,Certified-Expired,H-1B,INDIA,,09/10/2014,"9400 N. Broadway, Suite 300",Suite 400,OKLAHOMA CITY,UNITED STATES OF AMERICA,Hr Business Partner,"LEIDOS ENGINEERING, LLC",23000,(405) 478-5353,,94105,CALIFORNIA,1999,Y,BRAZIL,HAYWARD,Master's,1
311348,,Houston,Berry Appleman & Leiden LLP,CALIFORNIA,,,A-15006-39518,28/01/2015,Certified-Expired,H-1B,INDIA,,17/03/2016,500 Jackson Street,Suite 100,COLUMBUS,UNITED STATES OF AMERICA,Immigration Manager,CUMMINS INC.,39800,(812) 377-5000,,94043,CALIFORNIA,1986,Y,BRAZIL,SAN JOSE,Master's,1
107923,,None,"Fragomen, Del Rey, Bernsen & Loewy, LLP",FLORIDA,,,A-16257-52295,29/09/2016,Certified,F-1,THAILAND,,02/05/2016,1901 N. Moore Street,None,ARLINGTON,UNITED STATES OF AMERICA,Human Resources Manager,"Synectics for Management Decisions, Inc.",110,(703) 807-2325,,92008,CALIFORNIA,1997,A,CANADA,OCEANSIDE,Bachelor's,0
139850,,Coral Gables,"Gloria Roa Bodin, P.A.",ILLINOIS,,,A-15112-69503,12/05/2015,Certified,H-1B,INDIA,,15/08/2016,10 Austin Avenue,None,ISELIN,UNITED STATES OF AMERICA,Operations Manager,INTONE NETWORKS INC,312,(732) 721-3002,,95110,CALIFORNIA,2010,A,CANADA,PASADENA,Master's,1
21075,,Bloomfield Hills,LAW OFFICE OF RAJAGURU NALLIAH INC.,MICHIGAN,,,A-13330-19415,19/12/2013,Certified-Expired,H-1B,INDIA,,03/12/2015,5674 Stoneridge Drive,None,PLEASANTON,UNITED STATES OF AMERICA,Cfo,UNITED SOFTWARE ASSOCIATES,9,(925) 468-0240,,92037,CALIFORNIA,2012,A,CANADA,SAN DIEGO,Bachelor's,0
70256,,Alpharetta,"Sikal & Associates, LLC.",TEXAS,,,A-15146-79809,12/06/2015,Certified,H-1B,INDIA,,24/10/2016,22260 Haggerty Rd Suite # 215,None,NORTHVILLE,UNITED STATES OF AMERICA,President,"PEGASYS SYSTEMS & TECHNOLOGIES, INC",47,(248) 327-3080,,94043,CALIFORNIA,1998,Y,CANADA,SEATTLE,Bachelor's,0
361235,,Sherman Oaks,None,None,,,A-16091-91494,19/04/2016,Certified-Expired,H-1B,INDIA,,20/10/2014,2323 Ross Avenue,Suite 307,DALLAS,UNITED STATES OF AMERICA,"Manager, Hrsc",KPMG LLP,152000,(214) 840-6764,,94103,CALIFORNIA,2008,A,CHINA,BURLINGAM,Bachelor's,0
227700,,Edison,"Pasricha & Patel, LLC",NORTH CAROLINA,,,A-15140-78212,09/06/2015,Certified-Expired,H-1B,INDIA,,20/10/2014,150 Presidential Way,Suite 1200,WOBURN,UNITED STATES OF AMERICA,Regional Managing Director,"RANDSTAD TECHNOLOGIES, LP",8200,(781) 939-1720,,94065,CALIFORNIA,1982,Y,CHINA,FOSTER CITY,Master's,1
351771,,Troy,None,None,,,A-14139-70689,12/06/2014,Certified,H-1B,INDIA,,08/07/2016,1 Infinite Loop,None,CUPERTINO,UNITED STATES OF AMERICA,Us Immigration Manager,APPLE INC.,92600,(408) 974-4146,,95052,CALIFORNIA,1968,A,CHINA,FREMONT,Master's,1
281159,,New York,"Law Office of Keshab Raj Seadie, P.C.",MICHIGAN,,,A-13343-23015,08/01/2014,Certified,H-1B,INDIA,,18/10/2016,1700 Technology Drive,None,SAN JOSE,UNITED STATES OF AMERICA,Immigration Specialist - Qualcomm Hr,"QUALCOMM ATHEROS, INC.",26800,(408) 773-5384,,94065,CALIFORNIA,1977,A,CHINA,FREMONT,Master's,1
94644,,San Francisco,Hammond Young Immigration Law LLC,MARYLAND,,,A-13164-71766,01/08/2013,Denied,H-1B,INDIA,,17/11/2016,15809 Bear Creek Pkwy,Suite 620,REDMOND,UNITED STATES OF AMERICA,President,PEOPLE TECH GROUP INC,82,(253) 347-5930,,94043,CALIFORNIA,1998,N,CHINA,FREMONT,Doctorate,0
111989,,None,"Fragomen, Del Rey, Bernsen & Loewy, LLP",GEORGIA,,,A-16014-60956,09/02/2016,Certified-Expired,H-1B,TURKEY,,06/01/2015,9301 W. Bellfort,None,HOUSTON,UNITED STATES OF AMERICA,Assistant Director,"RAINDROP FOUNDATION, INC.",130,(713) 974-1412,,94025,CALIFORNIA,2004,A,CHINA,FREMONT,Master's,1
249790,,None,Jackson Lewis LLP,MASSACHUSETTS,,,A-16125-05650,24/05/2016,Certified,H-1B,INDIA,,08/11/2016,2 Tower Center Blvd.,None,EAST BRUNSWICK,UNITED STATES OF AMERICA,Operations Manager - Gims,WIPRO LIMITED,12493,(732) 509-1586,,92617,CALIFORNIA,1991,Y,CHINA,IRVINE,Master's,1
258616,,South San Francisco,None,None,,,A-15299-32193,18/11/2015,Certified,H-1B,INDIA,,26/05/2016,731 Lexington Ave.,None,NEW YORK,UNITED STATES OF AMERICA,Human Resources Representative,BLOOMBERG L.P.,15500,(212) 318-2000,,90703,CALIFORNIA,2002,A,CHINA,LA HABRA HEIGHTS,Master's,1
115987,,Houston,Berry Appleman and Leiden LLP,CALIFORNIA,,,A-16224-41286,01/09/2016,Withdrawn,F-1,CHINA,,03/06/2015,320 Wakara Way,5Th Floor Suite 528,SALT LAKE CITY,UNITED STATES OF AMERICA,Sr. Hr Manager,Myriad Genetics Inc.,142,(801) 584-3010,309,90807-3941,CALIFORNIA,1976,A,CHINA,LONG BEACH,Master's,1
346830,,None,"Fragomen, Del Rey, Bernsen & Loewy, LLP.",GEORGIA,,,A-14224-97575,05/09/2014,Certified,H-1B,INDIA,,29/07/2015,1 Infinite Loop,None,CUPERTINO,UNITED STATES OF AMERICA,Us Immigration Manager,APPLE INC.,72800,(408) 974-4146,,95052,CALIFORNIA,1968,A,CHINA,PORTLAND,Doctorate,0
239639,,Aventura,Law Offices of Sirota & Associates PA,NEW YORK,,,A-15087-62414,13/04/2015,Certified,H-1B,AUSTRALIA,,24/10/2016,354 Aldrich Hall,# 640,IRVINE,UNITED STATES OF AMERICA,Vice Provost,"UNIVERSITY OF CALIFORNIA, IRVINE",9700,(949) 824-7175,,92121,CALIFORNIA,2011,N,CHINA,SAN DIEGO,Master's,1
282575,,Los Angeles,Law Offices of Gary J. Kim,NEW JERSEY,,,A-14205-92025,12/08/2014,Certified-Expired,H-1B,INDIA,,17/03/2015,5775 Morehouse Drive,Ste 400,SAN DIEGO,UNITED STATES OF AMERICA,Immigration Specialist - Qc Hr,QUALCOMM TECHNOLOGIES INC.,27800,(858) 651-1440,,94065,CALIFORNIA,1977,A,CHINA,SAN JOSE,Master's,1
229286,,New York,The Law Offices of Michael Zamel Goldman,TEXAS,,,A-14217-95556,25/08/2014,Certified-Expired,H-1B,INDIA,,04/12/2014,2600 Casey Ave,Ste 444,MOUNTAIN VIEW,UNITED STATES OF AMERICA,Immigration Senior Program Manager,INTUIT,8500,(650) 944-6000,,95134,CALIFORNIA,1984,N,CHINA,SAN JOSE,Bachelor's,0
319778,,Newark,DORNBAUM &PEREGOY,CALIFORNIA,,,A-13017-31986,25/01/2013,Certified-Expired,H-1B,INDIA,,13/01/2016,2200 Mission College Blvd.,None,SANTA CLARA,UNITED STATES OF AMERICA,Us Immigration Ops Manager,INTEL CORPORATION,46544,(408) 765-8080,,95125,CALIFORNIA,1995,N,CHINA,SAN JOSE,Master's,1
294890,,Los Angeles,LAW OFFICES OF GARRET A. LUNGIN,NEW JERSEY,,,A-16092-91752,20/04/2016,Certified,H-1B,SOUTH KOREA,,22/06/2016,300 Madison Avenue,None,NEW YORK,UNITED STATES OF AMERICA,Immigration Manager,PRICEWATERHOUSECOOPERS,30000,(646) 471-3000,,94301,CALIFORNIA,2003,N,CHINA,SAN JOSE,Master's,1
124187,,Troy,None,None,,,A-16224-41381,01/09/2016,Certified-Expired,H-1B,INDIA,,25/02/2016,"50 Cragwood Road, Suite 219",Suite 500,SOUTH PLAINFIELD,UNITED STATES OF AMERICA,Vice President,"ASTIR IT SOLUTIONS, INC",186,(908) 279-8670,,95054,CALIFORNIA,2013,A,CHINA,SAN JOSE,Master's,1
56255,,Reston,Berry Appleman & Leiden LLP,CALIFORNIA,,,A-15182-93904,21/07/2015,Certified-Expired,H-1B,INDIA,,24/03/2016,707 Alexander Road,Suite 140,PRINCETON,UNITED STATES OF AMERICA,President,"ISPACE,INC.",34,(609) 606-2886,,95054,CALIFORNIA,1995,A,CHINA,SANTA CLARA,Master's,1
84634,,New York,"Fragomen, Del Rey, Bernsen & Loewy, LLP",DISTRICT OF COLUMBIA,,,A-15021-44440,17/02/2015,Certified-Expired,H-1B,INDIA,,28/01/2016,1600 Golf Road,Suite 100,ROLLING MEADOWS,UNITED STATES OF AMERICA,President,PETERSON TECHNOLOGY PARTNERS INC.,65,(847) 981-5151,,94043,CALIFORNIA,1998,Y,CHINA,SANTA CLARA,Master's,1
195534,,San Francisco,Egan LLP,CALIFORNIA,,,A-16137-10359,07/06/2016,Certified-Expired,H-1B,FRANCE,,29/10/2014,300 College Park,None,DAYTON,UNITED STATES OF AMERICA,Department Chairperson,UNIVERSITY OF DAYTON,2500,(937) 229-4211,,92121,CALIFORNIA,2011,N,CHINA,SANTA CLARA,Master's,1
160554,,San Francisco,Law Offices of Modesto L. Balahadia,NEW JERSEY,,,A-15082-61093,09/04/2015,Certified,H-1B,INDIA,,20/04/2016,"150 East 42Nd Street, 8Th Floor",None,NEW YORK,UNITED STATES OF AMERICA,"Vp, Global Talent Acquisition","INTRALINKS, INC.",614,(212) 543-7700,,95134,CALIFORNIA,1984,A,CHINA,SUNNYVALE,Doctorate,0
263038,,New York,Kramer Levin Naftalis & Frankel LLP,MASSACHUSETTS,,,A-16106-97902,04/05/2016,Certified-Expired,H-1B,INDIA,,26/01/2016,Route 10 Green Hills,Suite 350,READING,UNITED STATES OF AMERICA,"Manager, D&I And Corporate Hr","PENSKE LOGISTICS, LLC",17000,(610) 775-6491,,94043,CALIFORNIA,1998,A,CHINA,SUNNYVALE,Master's,1
111232,,Troy,None,None,,,A-13161-70380,18/07/2013,Certified-Expired,H-1B,INDIA,,09/12/2015,15809 Bear Creek Pkwy,None,REDMOND,UNITED STATES OF AMERICA,President,PEOPLE TECH GROUP INC,125,(253) 347-5930,,94043,CALIFORNIA,1998,A,CHINA,SUNNYVALE,Master's,1
173830,,Edison,"Law Office of Thomas V. Allen, PLLC",MICHIGAN,,,A-16137-10566,08/06/2016,Certified,H-1B,INDIA,,15/07/2016,205 Marengo Street,None,FLORENCE,UNITED STATES OF AMERICA,Human Resources Director,"RCHP-Florence,LLC dba Eliza Coffee Memorial Hospti",1020,(256) 768-9404,,94043,CALIFORNIA,2003,A,CHINA,SUNNYVALE,Master's,1
140571,,Phoenix,"Morgan, Lewis & Bockius LLP",NEW YORK,,,A-15147-80419,15/06/2015,Certified-Expired,H-1B,INDIA,,24/12/2015,"5660 W. Chandler Blvd., Ste. 1",Suite 1200,CHANDLER,UNITED STATES OF AMERICA,President & Ceo,"INTRAEDGE, INC",327,(602) 284-9641,,95134,CALIFORNIA,2004,Y,CHINA,SUNNYVALE,Bachelor's,0
223650,,Woodbridge,None,None,,,A-13355-27227,22/01/2014,Certified-Expired,H-1B,INDIA,,31/03/2016,111 Mcinnis Parkway,None,SAN RAFAEL,UNITED STATES OF AMERICA,Global Mobility Program Manager,"AUTODESK, INC.",7300,(415) 507-5000,,94108,CALIFORNIA,2011,A,CHINA,UNION CITY,Master's,1
175277,,Lincoln,Brown Immigration Law PC LLO,CALIFORNIA,,,A-15159-84155,25/06/2015,Certified,H-1B,INDIA,,22/04/2016,"2035 Lincoln Highway, Suite 3002",None,EDISON,UNITED STATES OF AMERICA,Director - Hr,L&T TECHNOLOGY SERVICES LIMITED,1100,(732) 248-6111,,95110,CALIFORNIA,1982,Y,COLOMBIA,SARATOGA SPRINGS,Bachelor's,0
369378,,Washington,None,None,,,A-15261-19420,13/10/2015,Certified-Expired,H-1B,INDIA,,10/02/2016,10 South Dearborn Street,Suite 200,CHICAGO,UNITED STATES OF AMERICA,Executive Director & Assistant General Counsel,JP MORGAN CHASE & CO,239000,(312) 732-2655,408,95014,CALIFORNIA,1977,A,FRANCE,MOUNTAIN VIEW,Master's,1
363860,,Los Angeles,"Fragomen, Del Rey, Bernsen & Loewy, LLP",CONNECTICUT,,,A-15103-66355,01/05/2015,Denied,H-1B,CHINA,,28/01/2016,440 Terry Ave N,None,SEATTLE,UNITED STATES OF AMERICA,Immigration Specialist,AMAZON CORPORATE LLC,154100,(206) 266-1000,,94105,CALIFORNIA,2013,A,FRANCE,OAKLAND,Master's,1
93157,,Boston,"Ditrani Law, LLC",CALIFORNIA,,,A-16203-34914,08/08/2016,Withdrawn,H-1B,CANADA,,03/03/2016,13610 Poplar Circle,3Rd Floor,CONROE,UNITED STATES OF AMERICA,General Manager Us,"Katch Kan USA, LLC",80,(936) 537-2393,408,95014,CALIFORNIA,1977,A,FRANCE,SAN FRANCISCO,Master's,1
81669,,Irvine,"Fragomen, Del Rey, Bernsen & Loewy, LLP",COLORADO,,,A-16132-08513,30/05/2016,Certified-Expired,H-1B,INDIA,,21/01/2015,2850 Golf Road,Suite 400,ROLLING MEADOWS,UNITED STATES OF AMERICA,Hr Director,"QUADRANT 4 CLOUD, INC.",60,(847) 871-9450,,94404,CALIFORNIA,1979,A,FRANCE,SAN FRANCISCO,Master's,1
177253,,New York,"Fragomen, Del Rey, Bernsen & Loewy LLP",CALIFORNIA,,,A-15063-55938,26/03/2015,Certified,H-1B,INDIA,,09/08/2016,650 S. Exeter Street,None,BALTIMORE,UNITED STATES OF AMERICA,Executive Director - Enterprise Information Manage,"LAUREATE EDUCATION, INC.",1215,(410) 843-8000,,94105,CALIFORNIA,1999,N,FRANCE,SAN FRANCISCO,Master's,1
